"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","time_minutes","quantifier_num","chose_higher","higher","lower","id_int","pred_barker","pred_barker_chosen","pred_barker_not_chosen","pred_distance","pred_distance_chosen","pred_distance_not_chosen","pred_closer","pred_closer_chosen","pred_closer_not_chosen","mode_barker","mode_distance","mode_closer","a_barker","a_distance","a_closer","b_barker","b_distance","b_closer"
39,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877655853,39,6479,157,363,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,0,363,157,1,0.722,0.278,0.722,0.761,0.239,0.761,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
40,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877659969,40,4112,157,175,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,175,157,1,0.485,0.515,0.485,0.446,0.554,0.446,0.286,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
41,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877662864,41,2891,157,403,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,403,157,1,0.88,0.12,0.88,0.838,0.162,0.838,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
42,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877666128,42,3260,157,119,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,1,157,119,1,0.558,0.558,0.442,0.613,0.613,0.387,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
43,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877670284,43,4152,158,157,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,1,158,157,1,0.501,0.501,0.499,0.503,0.503,0.497,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
44,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877674741,44,4452,158,153,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,1,158,153,1,0.505,0.505,0.495,0.515,0.515,0.485,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
45,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877677652,45,2902,158,362,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,362,158,1,0.719,0.281,0.719,0.761,0.239,0.761,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
46,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877680640,46,2982,156,158,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,158,156,1,0.498,0.502,0.498,0.494,0.506,0.494,0.286,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
47,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877686760,47,6114,156,142,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,1,156,142,1,0.517,0.517,0.483,0.542,0.542,0.458,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
48,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877695658,48,8893,156,151,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,1,156,151,1,0.506,0.506,0.494,0.515,0.515,0.485,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
