"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","id_int","time_minutes","quantifier_num","chose_higher","higher","lower"
72,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510901460,22,178,409,405,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,409,405
73,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510901569,23,108,409,406,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,409,406
74,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510901722,24,152,0,409,"Few",1,"english",NA,3,0,162666,46,2.7111,3,0,409,0
75,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510902315,25,591,15,0,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,15,0
76,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510902491,26,175,15,59,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,59,15
77,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510902661,27,169,40,15,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,40,15
78,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510902809,28,147,59,40,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,59,40
79,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510902993,29,183,59,31,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,59,31
80,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510903157,30,163,319,59,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,319,59
81,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510903349,31,191,312,319,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,319,312
82,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510903495,32,145,312,307,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,312,307
83,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510903774,33,277,96,312,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,312,96
84,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510903851,34,76,81,96,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,96,81
85,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510904027,35,175,81,244,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,244,81
86,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510904197,36,169,206,81,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,206,81
87,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510904441,37,243,206,214,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,214,206
88,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510904567,38,125,206,183,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,206,183
89,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510904731,39,163,172,206,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,206,172
90,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510904918,40,186,196,172,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,196,172
91,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510905093,41,174,223,196,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,223,196
92,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510905279,42,185,223,245,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,245,223
93,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510905447,43,167,195,223,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,223,195
94,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510905657,44,208,223,195,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,223,195
95,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510905834,45,176,223,368,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,368,223
96,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510906035,46,200,223,217,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,223,217
97,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510906197,47,161,208,223,"Few",0,"english",NA,3,0,162666,46,2.7111,3,0,223,208
98,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510906343,48,144,230,208,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,230,208
99,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510906515,49,171,230,226,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,230,226
100,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510906744,50,227,230,228,"Few",0,"english",NA,3,0,162666,46,2.7111,3,1,230,228
111,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510910365,11,231,117,110,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,117,110
112,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510910565,12,199,91,117,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,117,91
113,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510910813,13,247,91,109,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,109,91
114,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510911051,14,237,107,91,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,107,91
